index,type,sub_type,title,label
0,20,,Struck by Falling Curtain Wall Panel,2
1,20,,Struck by Falling Metal Pipes,2
2,3,,Trapped by Moving Parts of Escalator,4
3,4,,Trapped between Elevating Work Platform and Ceiling,4
4,7,,Trapped by Material Hoist,4
8,3,,Fall from Unprotected Edge of Belt Loader,1
11,3,,Pressed to Death by Falling Equipment,4
12,3,,Trapped between Excavator and Dump Truck,4
15,20,,Struck to Death by Falling Metal Pipes,2
16,20,,Struck to Death by Falling Metal I-beams,2
17,4,,Trapped in Elevating Work Platform,4
18,20,,Struck to Death by Falling Metal Boards,2
19,3,,Fallen from Tail Lift of a Truck,1
22,20,,Struck to Death by a Bundle of Timbers,2
25,3,,Knocked Down by Reversing Truck,3
26,20,,Struck by a Metal Block,2
27,3,,Trapped by Collapsed Lower Deck Loader,4
28,3,,Trapped between a Refuse Container Tractor and a Refuse Tipper,4
31,3,,Fallen from Tail Lift of a Truck,1
32,3,,Trapped between Two Excavators,4
33,20,,Tripped Over and Slammed into a Wall,4
34,20,,Struck by Falling Metal Fin,2
35,20,,Pressed by Demolition Debris,4
37,3,,Fallen from a Cable Tray,1
38,20,,Struck to Death by an Overturned Precast Concrete Wall Panel,2
40,3,,Knocked Down by Vehicle,3
42,3,,Pressed to Death by Collapsed Wall,4
44,4,,Fallen with a Toppled Mobile Elevating Work Platform,1
47,3,,Trapped to Death between a Forklift Truck and an Power-operated Elevating Work Platform,4
50,3,,Run Over to Death by a Rubber Tyred Gantry Crane,3
56,3,,Fallen From a Truck,1
57,3,,Trapped by the Mixer Arm of a Mixing Machine,4
58,20,,Struck to Death by a Burst Fender Panel,2
59,20,,Struck to Death by a Collapsed Metal I-beam,2
63,4,,Collapse of Reinforcement Bar Structure,4
64,4,,Fallen from a Mobile Platform Ladder,1
66,3,,Collapse of a Tower Crane,4
67,3,,Pressed to Death by a Toppled Sliding Gate,4
71,7,,Trapped by Revolving Cutters of a Bale Breaker,4
72,3,,Pressed to Death by a Toppled Metal Lift Shaft Working Platform,4
73,3,,Crushed by the Robotic Arm of a Palletizer,4
77,3,,Trapped and Entangled by the Revolving Spiral Conveyor of a Plastic Crushing Machine,4
79,3,,Trapped between a Crane Boom under Repair and a Foundation Plant,4
80,4,,Fallen from a Mobile Elevating Work Platform,1
82,20,,Struck to Death by Falling Objects,2
87,3,,Knocked Down by a Tow Truck,3
88,4,,Pressed to Death by an Elevating Work Platform,4
90,3,,Struck by Wire Rope of a Crawler Crane under Repair,3
92,3,,Trapped to Death by a Lorry,4
94,4,,Fallen with the Working Platform of a Collapsed Truck-mounted Elevating Work Platform,1
97,20,,Struck to Death by a Fallen Metal I-beam,2
102,3,,Trapped underneath the Dumping Platform of a Dumper,4
104,21,,A Worker Rammed into a Rock,0
105,20,,Struck by a Concrete Skip under Lifting,3
106,20,,Struck by Displaced Panels,3
108,4,,Struck by an Elevating Working Platform,3
109,20,,Struck by a Fallen Solar Panel,3
115,3,,Fallen from the deck of a telescopic mobile crane,1
119,20,,Pressed to Death by a Toppled Metal Hoarding,4
123,3,,Pressed to Death by Collapsed Wall,4
124,20,,Struck by a Moving Vehicle on a Public Road,3
126,4,,Collapse of Reinforcement Bar Structure,4
