Date,Accident Title
December 2024,Struck by Falling Curtain Wall Panel
December 2024,Struck by Falling Metal Pipes
November 2024,Trapped by Moving Parts of Escalator
November 2024,Trapped between Elevating Work Platform and Ceiling
November 2024,Trapped by Material Hoist
November 2024,Fall from Suspended Metal Walkway Panel
November 2024,Fall from Height while Dismantling Truss-out Bamboo Scaffold
October 2024,Falling from Shore into Sea
October 2024,Fall from Unprotected Edge of Belt Loader
October 2024,Fall from Height while Dismantling a Bamboo Scaffold
September 2024,Fall from Unprotected Void of Scaffolding
September 2024,Pressed to Death by Falling Equipment
July 2024,Trapped between Excavator and Dump Truck
July 2024,Fall from Height while Erecting a Truss-out Bamboo Scaffold
July 2024,Fall from a Metal Ladder
June 2024,Struck to Death by Falling Metal Pipes
June 2024,Struck to Death by Falling Metal I-beams
May 2024,Trapped in Elevating Work Platform
May 2024,Struck to Death by Falling Metal Boards
April 2024,Fallen from Tail Lift of a Truck
April 2024,Fatal Accident in Drainage Work
March 2024,Fall from Scaffolding
March 2024,Struck to Death by a Bundle of Timbers
February 2024,Collapse of Bamboo Scaffold
February 2024,Run Over to Death by Aircraft
January 2024,Knocked Down by Reversing Truck
December 2023,Struck by a Metal Block
December 2023,Trapped by Collapsed Lower Deck Loader
December 2023,Trapped between a Refuse Container Tractor and a Refuse Tipper
December 2023,Fallen from Metal Structure
December 2023,Suspected Electrocution while Conducting Electrical Wiring Work
November 2023,Fallen from Tail Lift of a Truck
November 2023,Trapped between Two Excavators
November 2023,Tripped Over and Slammed into a Wall
November 2023,Struck by Falling Metal Fin
November 2023,Pressed by Demolition Debris
October 2023,A Worker Fallen into Sea from a Dock
October 2023,Fallen from a Cable Tray
September 2023,Struck to Death by an Overturned Precast Concrete Wall Panel
September 2023,Gas Poisoning in Underground Cooling Main
September 2023,Knocked Down by Vehicle
September 2023,Suspected Electrocution while Dismantling a Cable from a Switchboard
August 2023,Pressed to Death by Collapsed Wall
August 2023,Suspected Electrocution while Relocating Electrical Installations
August 2023,Fallen with a Toppled Mobile Elevating Work Platform
July 2023,Use of Chemicals Inside a Water Tank
Jun 2023,Fall through a Skylight Opening
May 2023,Trapped to Death between a Forklift Truck and an Power-operated Elevating Work Platform
May 2023,Fallen from a Metal Access Tower
May 2023,Attacked by Bees/ Wasps
