flow,occupy,speed
56.0,0.0112,68.4
40.0,0.008,68.6
28.0,0.0068,67.4
47.0,0.0089,69.5
36.0,0.0081,68.1
70.0,0.0142,69.0
105.0,0.0245,67.0
105.0,0.0246,64.8
107.0,0.0262,63.5
151.0,0.034,64.0
107.0,0.0269,63.3
138.0,0.0361,60.4
141.0,0.0338,60.5
102.0,0.0246,60.5
127.0,0.0348,58.9
129.0,0.0319,59.1
101.0,0.0251,59.6
140.0,0.0355,59.6
105.0,0.0244,60.0
124.0,0.0262,61.3
104.0,0.0243,62.2
117.0,0.0275,62.4
128.0,0.0296,61.6
93.0,0.0213,62.5
82.0,0.0219,59.6
88.0,0.0186,62.1
89.0,0.0193,64.0
104.0,0.0246,61.9
90.0,0.0203,62.0
72.0,0.0159,63.8
81.0,0.0202,61.6
82.0,0.0181,62.3
73.0,0.0155,63.3
58.0,0.0124,64.4
65.0,0.0139,64.7
59.0,0.0108,67.5
63.0,0.0149,66.7
69.0,0.0142,66.4
58.0,0.0111,67.8
65.0,0.0159,65.2
75.0,0.0161,64.7
54.0,0.0118,66.1
73.0,0.0152,66.7
71.0,0.0133,68.4
83.0,0.0172,67.8
49.0,0.0112,66.6
73.0,0.0187,66.3
62.0,0.0146,65.4
56.0,0.0117,67.6
59.0,0.0127,67.4
49.0,0.0096,69.4
93.0,0.0154,75.5
64.0,0.013999999999999999,71.1
66.0,0.0127,72.8
61.0,0.0118,71.4
82.0,0.0174,69.3
73.0,0.0156,70.0
75.0,0.0152,70.9
47.0,0.0133,67.9
67.0,0.0143,67.7
49.0,0.0103,68.1
76.0,0.0137,72.2
60.0,0.013999999999999999,67.4
61.0,0.0132,68.3
67.0,0.0154,68.1
66.0,0.0143,68.8
67.0,0.0176,65.0
81.0,0.0191,65.8
93.0,0.022000000000000002,65.9
60.0,0.013999999999999999,66.0
61.0,0.0125,67.1
71.0,0.0181,64.7
78.0,0.0195,63.9
41.0,0.0104,65.1
74.0,0.0173,65.7
77.0,0.018000000000000002,64.4
82.0,0.0177,65.8
79.0,0.0203,64.2
86.0,0.02,66.0
91.0,0.0198,66.5
67.0,0.0156,65.8
87.0,0.0204,66.5
69.0,0.0159,66.8
76.0,0.0175,66.2
62.0,0.0152,66.0
83.0,0.0191,66.4
49.0,0.0128,65.5
63.0,0.0145,65.5
54.0,0.0114,67.2
85.0,0.0195,66.0
58.0,0.0133,66.8
111.0,0.024,69.0
105.0,0.0203,71.1
85.0,0.0184,69.5
79.0,0.0187,67.1
84.0,0.0165,70.1
112.0,0.0226,71.0
87.0,0.0222,66.1
75.0,0.0167,67.0
115.0,0.0284,65.1
111.0,0.0256,65.1
112.0,0.0249,67.0
97.0,0.0213,67.7
118.0,0.0266,66.9
126.0,0.0289,66.2
137.0,0.03,67.3
85.0,0.021,66.5
108.0,0.0257,65.6
111.0,0.0249,67.5
80.0,0.02,65.8
82.0,0.0213,64.9
114.0,0.0264,66.3
114.0,0.026000000000000002,67.7
112.0,0.0263,67.9
133.0,0.0324,66.4
117.0,0.0266,67.1
119.0,0.0292,66.3
122.0,0.0287,66.8
121.0,0.032,63.7
122.0,0.0292,64.7
109.0,0.0261,64.8
136.0,0.0331,63.5
114.0,0.0277,62.5
175.0,0.0418,62.5
144.0,0.035,63.7
154.0,0.037000000000000005,63.5
147.0,0.0351,63.6
163.0,0.0392,63.7
173.0,0.0381,65.4
177.0,0.0459,62.7
183.0,0.043,63.9
192.0,0.0468,63.3
170.0,0.0423,61.7
173.0,0.0423,62.4
186.0,0.0438,63.0
173.0,0.0438,61.0
155.0,0.0388,61.6
171.0,0.0435,60.4
187.0,0.0481,59.9
148.0,0.0392,59.2
213.0,0.0534,59.3
188.0,0.0494,59.3
204.0,0.0535,59.2
212.0,0.0545,58.4
184.0,0.0456,60.8
156.0,0.0399,59.5
222.0,0.0575,59.8
189.0,0.0447,61.6
241.0,0.0616,61.3
239.0,0.0597,61.6
180.0,0.0465,59.8
216.0,0.0561,59.9
202.0,0.0525,58.6
235.0,0.057999999999999996,60.3
196.0,0.0497,60.6
234.0,0.0576,60.8
212.0,0.0535,60.7
219.0,0.0576,59.9
240.0,0.0627,59.4
226.0,0.0574,59.5
194.0,0.0485,60.9
220.0,0.0595,58.9
204.0,0.0548,58.4
265.0,0.066,59.9
254.0,0.0639,60.6
244.0,0.0628,59.9
282.0,0.0711,60.2
242.0,0.0607,60.9
229.0,0.0567,61.0
250.0,0.0625,61.9
208.0,0.0521,61.8
243.0,0.0655,60.3
272.0,0.0709,59.3
216.0,0.0554,59.8
220.0,0.0529,61.4
230.0,0.0587,61.3
192.0,0.0512,59.1
206.0,0.0853,53.2
224.0,0.0581,56.2
170.0,0.0455,57.3
240.0,0.055999999999999994,61.1
229.0,0.0587,60.3
175.0,0.0402,63.4
209.0,0.0512,62.8
223.0,0.0575,61.5
199.0,0.0523,59.5
208.0,0.0536,60.3
250.0,0.0659,59.7
200.0,0.0508,60.2
194.0,0.0526,59.5
176.0,0.0429,60.6
206.0,0.0551,59.9
217.0,0.0524,60.2
177.0,0.0452,59.9
211.0,0.0525,59.9
210.0,0.0537,59.2
201.0,0.0518,59.2
201.0,0.0513,58.8
214.0,0.057999999999999996,57.0
217.0,0.0551,57.9
245.0,0.0631,58.2
205.0,0.0518,58.5
212.0,0.0552,57.9
180.0,0.0452,59.0
222.0,0.0563,59.9
180.0,0.0464,59.6
245.0,0.0632,60.1
206.0,0.0511,61.1
219.0,0.0591,59.7
186.0,0.0509,57.5
223.0,0.0592,58.7
184.0,0.0497,57.0
204.0,0.0545,58.3
199.0,0.0528,58.0
189.0,0.0498,57.9
191.0,0.0541,56.6
194.0,0.0538,56.8
193.0,0.0507,56.8
203.0,0.0565,56.2
197.0,0.0529,57.3
205.0,0.054000000000000006,57.6
218.0,0.0567,57.8
120.0,0.0317,58.1
283.0,0.0783,57.7
199.0,0.0577,55.3
215.0,0.0542,58.0
208.0,0.0561,58.2
209.0,0.0559,57.6
165.0,0.0422,60.2
212.0,0.0515,61.2
187.0,0.0479,61.5
159.0,0.0401,61.7
170.0,0.0486,59.0
154.0,0.0398,60.4
152.0,0.0399,61.5
187.0,0.0509,60.0
185.0,0.0469,61.9
183.0,0.0462,62.3
176.0,0.0425,62.6
181.0,0.0451,62.5
156.0,0.0399,65.1
193.0,0.051,65.8
187.0,0.0507,65.5
144.0,0.0375,66.0
125.0,0.0323,66.8
139.0,0.0358,67.5
176.0,0.0479,66.0
148.0,0.0389,66.3
161.0,0.0397,68.7
167.0,0.0438,67.8
139.0,0.0344,70.2
161.0,0.0415,68.6
118.0,0.0328,65.8
158.0,0.0411,66.7
138.0,0.0333,68.9
175.0,0.0369,75.4
139.0,0.034,72.2
172.0,0.0719,69.3
166.0,0.0412,68.9
112.0,0.0269,70.5
128.0,0.0323,69.4
155.0,0.0393,69.2
127.0,0.0333,67.2
127.0,0.0331,66.9
134.0,0.0314,68.6
129.0,0.0333,66.9
121.0,0.0285,68.4
92.0,0.021,69.7
94.0,0.0235,67.9
138.0,0.0325,69.8
107.0,0.0259,69.3
123.0,0.0297,69.2
87.0,0.0187,71.9
130.0,0.0265,75.0
116.0,0.0286,70.5
102.0,0.0247,70.1
88.0,0.0217,67.5
78.0,0.0192,67.9
96.0,0.0221,67.7
72.0,0.0195,65.0
54.0,0.0134,65.5
77.0,0.0176,66.4
75.0,0.0168,68.1
72.0,0.0164,68.6
42.0,0.0093,67.6
85.0,0.0193,68.5
67.0,0.0171,66.5
61.0,0.0181,65.1
80.0,0.0154,70.7
85.0,0.0189,68.6
33.0,0.0083,67.1
41.0,0.009000000000000001,66.9
37.0,0.0087,67.7
52.0,0.0121,67.2
55.0,0.0127,68.8
44.0,0.0093,69.9
46.0,0.0081,70.6
41.0,0.0084,69.2
55.0,0.0105,70.0
44.0,0.0074,71.2
47.0,0.0091,69.4
34.0,0.006999999999999999,68.9
46.0,0.0111,68.1
48.0,0.0107,67.2
57.0,0.0104,70.9
42.0,0.0096,67.7
26.0,0.005,67.6
41.0,0.0101,68.1
59.0,0.0103,70.4
24.0,0.0042,69.3
30.0,0.0053,69.2
22.0,0.0062,67.8
33.0,0.0071,68.5
40.0,0.0098,67.6
41.0,0.008,69.1
40.0,0.0063,70.2
42.0,0.0086,69.6
49.0,0.0108,69.6
46.0,0.0085,70.5
45.0,0.0102,67.2
43.0,0.0114,67.6
36.0,0.0107,66.7
57.0,0.0122,68.2
55.0,0.0125,67.6
52.0,0.0097,69.8
51.0,0.0109,68.1
39.0,0.0098,68.3
53.0,0.0148,64.8
92.0,0.0226,65.9
40.0,0.0121,65.8
55.0,0.0229,60.9
85.0,0.0198,65.5
82.0,0.0191,66.6
97.0,0.0264,63.5
92.0,0.0265,62.2
105.0,0.0272,62.2
97.0,0.0235,67.6
108.0,0.0285,67.7
106.0,0.0266,69.2
134.0,0.0344,68.8
116.0,0.0325,67.2
122.0,0.0344,65.9
149.0,0.0402,66.8
168.0,0.0439,68.3
168.0,0.0481,66.4
203.0,0.0551,66.8
182.0,0.055,63.8
212.0,0.0579,65.4
197.0,0.0542,69.3
228.0,0.0645,69.7
255.0,0.0704,70.7
306.0,0.085,70.9
293.0,0.0831,70.4
340.0,0.1053,67.1
394.0,0.1173,67.1
335.0,0.1023,66.2
444.0,0.136,65.6
415.0,0.1259,65.8
411.0,0.1241,65.8
439.0,0.1552,61.2
377.0,0.1148,60.5
449.0,0.1446,58.9
480.0,0.1591,56.9
416.0,0.1354,56.7
468.0,0.1469,57.4
410.0,0.14,55.8
434.0,0.1618,52.4
410.0,0.1449,52.4
395.0,0.1347,52.9
392.0,0.1253,55.1
375.0,0.1273,54.8
356.0,0.1129,56.0
320.0,0.1097,54.5
410.0,0.1315,55.8
361.0,0.1229,54.9
347.0,0.1134,55.8
304.0,0.0955,56.9
365.0,0.1172,57.1
335.0,0.1016,58.7
317.0,0.0979,58.8
324.0,0.0981,59.7
320.0,0.0997,59.2
289.0,0.0859,60.1
297.0,0.0979,58.5
357.0,0.102,61.0
306.0,0.0941,60.7
365.0,0.1093,61.3
313.0,0.0874,63.7
399.0,0.1168,63.2
355.0,0.1099,61.5
356.0,0.1057,61.9
331.0,0.1017,61.2
357.0,0.1064,61.5
365.0,0.109,61.8
391.0,0.1199,61.4
333.0,0.09699999999999999,62.3
372.0,0.1173,60.6
331.0,0.1006,60.8
339.0,0.1001,61.7
386.0,0.1118,62.7
346.0,0.1042,62.0
333.0,0.0942,63.4
297.0,0.0925,61.6
312.0,0.0975,60.5
237.0,0.0666,62.7
367.0,0.1162,61.0
260.0,0.0745,62.7
385.0,0.1201,61.1
314.0,0.0914,62.3
308.0,0.0883,63.2
331.0,0.0915,64.8
298.0,0.085,64.4
280.0,0.0778,65.7
300.0,0.0794,67.4
256.0,0.0733,65.7
270.0,0.0757,65.2
274.0,0.0814,64.1
269.0,0.08199999999999999,61.6
253.0,0.0701,63.7
243.0,0.0756,61.3
255.0,0.076,61.6
249.0,0.0724,62.4
262.0,0.0744,64.1
253.0,0.0735,63.7
271.0,0.0771,64.2
194.0,0.0569,63.2
245.0,0.0698,63.4
255.0,0.0726,63.5
197.0,0.0556,64.3
232.0,0.065,64.6
227.0,0.0625,65.4
239.0,0.0621,67.4
217.0,0.0645,64.7
189.0,0.0515,65.9
173.0,0.054000000000000006,62.9
206.0,0.0558,65.1
200.0,0.0583,64.3
194.0,0.0654,61.1
236.0,0.0633,64.9
218.0,0.0577,66.6
219.0,0.0631,64.9
216.0,0.0583,66.8
224.0,0.064,65.6
223.0,0.0594,66.7
188.0,0.0549,64.7
199.0,0.0551,65.2
233.0,0.0657,64.7
175.0,0.0477,66.1
226.0,0.0619,66.1
225.0,0.0632,65.8
209.0,0.0613,63.9
202.0,0.0528,66.5
224.0,0.0563,69.5
224.0,0.0558,70.6
239.0,0.0681,67.8
263.0,0.0712,67.7
209.0,0.0566,67.9
180.0,0.0512,65.3
196.0,0.0531,66.3
199.0,0.0534,66.6
220.0,0.0608,66.4
256.0,0.0652,68.9
229.0,0.0646,66.6
233.0,0.0617,67.4
198.0,0.0546,66.6
242.0,0.0681,65.7
230.0,0.0609,67.2
182.0,0.0502,66.5
199.0,0.0563,65.1
208.0,0.0572,65.9
203.0,0.0499,69.4
224.0,0.0579,70.0
257.0,0.0671,69.6
215.0,0.0588,68.5
216.0,0.0615,66.2
218.0,0.0601,65.8
242.0,0.0641,67.3
